Country Id,Country
1,"Canada, Mexico, United States"
2,Qatar
3,Russia
4,Brazil
5,South Africa
6,Germany
7,"Korea Republic, Japan"
8,France
9,United States
10,Italy
11,Mexico
12,Spain
13,Argentina
14,England
15,Chile
16,Sweden
17,Switzerland
18,Uruguay
19,West Germany
20,Croatia
21,Netherlands
22,Czechoslovakia
23,Hungary
